Geneid	EBF1-dTAG_N_0h_rep1	EBF1-dTAG_N_0h_rep2	EBF1-dTAG_N_0h_rep3	EBF1-dTAG_N_0h_rep4	EBF1-dTAG_N_6h_rep1	EBF1-dTAG_N_6h_rep2	EBF1-dTAG_N_6h_rep3	EBF1-dTAG_N_6h_rep4
ENSMUSG00000104221.1	0	0	0	0	0	0	0	0
ENSMUSG00000102250.1	0	0	0	0	0	0	0	0
ENSMUSG00000102317.1	0	0	0	0	0	0	0	0
ENSMUSG00000103563.1	0	0	0	0	0	0	0	0
ENSMUSG00000102465.1	0	0	0	0	0	0	0	0
ENSMUSG00000102659.1	0	0	0	0	0	0	0	0
ENSMUSG00000103924.1	0	0	0	0	0	0	0	0
ENSMUSG00000104132.1	0	0	0	0	0	0	0	0
ENSMUSG00000102747.1	0	0	0	0	0	0	0	0
ENSMUSG00000102386.1	0	0	0	0	0	0	0	0
ENSMUSG00000103004.1	0	0	0	0	0	0	0	0
ENSMUSG00000104516.1	0	0	0	0	0	0	0	0
ENSMUSG00000101618.1	0	0	0	0	0	0	0	0
ENSMUSG00000099458.1	0	0	0	0	0	0	0	0
ENSMUSG00000088111.1	0	0	0	0	0	0	0	0
ENSMUSG00000073722.3	0	0	0	0	0	0	0	0
ENSMUSG00000095256.1	0	0	0	0	0	0	0	0
ENSMUSG00000100310.1	0	0	0	0	0	0	0	0
ENSMUSG00000101514.1	0	0	0	0	0	0	0	0
ENSMUSG00000101033.1	0	0	0	0	0	0	0	0
ENSMUSG00000101372.1	0	0	5	0	0	0	1	0
ENSMUSG00000103241.1	0	0	0	0	0	0	0	0
ENSMUSG00000086240.4	24	28	22	10	10	15	33	14
ENSMUSG00000048411.4	0	0	0	0	0	0	0	0
ENSMUSG00000081557.2	7	0	0	0	0	1	4	0
ENSMUSG00000058590.2	0	0	0	0	0	0	0	0
ENSMUSG00000101235.1	0	0	0	0	0	0	0	0
ENSMUSG00000064433.1	0	0	0	0	0	0	0	0
ENSMUSG00000080625.1	0	0	0	0	0	0	0	0
ENSMUSG00000080391.1	0	0	0	0	0	0	0	0
ENSMUSG00000099257.1	0	0	0	0	0	0	0	0
ENSMUSG00000099492.1	24	8	24	24	29	52	26	12
ENSMUSG00000101726.1	0	0	0	0	0	0	0	0
ENSMUSG00000096829.1	0	0	0	0	0	0	0	0
ENSMUSG00000098883.1	0	0	0	0	0	0	0	0
ENSMUSG00000053185.2	0	0	0	0	0	0	0	0
ENSMUSG00000100261.1	0	0	0	2	1	0	0	0
ENSMUSG00000101180.1	0	0	0	0	0	0	0	0
ENSMUSG00000048874.15	3855	3601	4893	4865	5046	4948	4853	4390
ENSMUSG00000103783.1	98	68	107	75	60	81	65	105
ENSMUSG00000104315.1	126	125	180	190	140	164	153	205
ENSMUSG00000026064.15	756	779	998	1065	989	1082	1024	980
ENSMUSG00000086151.3	0	0	0	0	0	0	0	0
ENSMUSG00000086726.2	0	0	0	0	0	0	0	0
ENSMUSG00000087346.2	0	0	0	0	0	0	0	0
ENSMUSG00000100371.1	0	0	0	0	0	0	0	0
ENSMUSG00000100237.1	0	0	0	0	0	0	0	0
ENSMUSG00000098529.1	0	0	0	0	0	0	0	0
ENSMUSG00000086727.7	0	0	0	0	0	0	0	0
ENSMUSG00000100910.1	0	0	0	0	0	0	0	0
ENSMUSG00000099796.1	0	0	0	0	0	0	0	0
ENSMUSG00000050217.13	0	0	0	0	0	0	0	0
ENSMUSG00000026063.4	0	0	0	0	0	0	0	0
ENSMUSG00000077664.1	0	0	0	0	0	0	0	0
ENSMUSG00000100205.1	0	0	0	0	0	0	0	0
ENSMUSG00000100592.1	0	0	0	0	0	0	0	0
ENSMUSG00000094215.2	0	0	0	0	0	0	0	0
ENSMUSG00000101093.1	0	0	0	0	0	0	0	0
ENSMUSG00000070960.4	3	2	3	4	2	3	4	4
ENSMUSG00000088620.1	0	0	0	0	0	0	0	0
ENSMUSG00000082159.2	0	0	0	0	0	0	0	0
ENSMUSG00000026058.11	0	0	0	0	0	0	0	0
